 number=67, yearStr='1690', year=1690, x=1625, y=546, name='067 - Elf 467', artist='Augsburg', tags='Deutschland	Barock	Kunsthandwerk; Kassetten	Mythologie	x	x	Elfenbein; Email'
 number=68, yearStr='1608', year=1608, x=0, y=0, name='068 - KK 246', artist='Jacques de Gheyn (1565-1629)', tags='Niederlande	Barock	Graphik; Zeichnung	Genre	x	x	x'
 number=69, yearStr='1615', year=1615, x=936, y=680, name='069 - Moe 85', artist='Werkstatt des Ulrich Baumgartner (um 1580-1652)', tags='Deutschland	Barock	Kunsthandwerk	x	x	Freizeit	Holz; Elfenbein; Silber'
 number=70, yearStr='1631', year=1631, x=1023, y=410, name='070 - GG 340', artist='Jan van Goyen (1596-1656)', tags='Niederlande	Barock	Malerei	Landschaft	Farbe	x	Holz'
 number=71, yearStr='1652', year=1652, x=0, y=0, name='071 - KK 1027', artist='Rembrandt Harmensz. van Rijn (1606-1669)', tags='Niederlande	Barock	Graphik; Druckgraphik	Interior	Licht	Moral; Wissenschaft	x'
 number=72, yearStr='1632', year=1632, x=935, y=544, name='072 - GG 232', artist='Rembrandt Harmensz. van Rijn (1606-1669)', tags='Niederlande	Barock	Malerei	Portrait	x	x	Holz'
 number=72, yearStr='1633', year=1633, x=935, y=544, name='072 - GG 233', artist='Ca. 1770/75; Black Basalt, rote und weiße Bemalung;', tags='Niederlande	Barock	Malerei	Portrait	x	x	Holz'
 number=73, yearStr='1638', year=1638, x=922, y=406, name='073 - GG 236', artist='Rembrandt Harmensz. van Rijn (1606-1669)', tags='Niederlande	Barock	Malerei	Landschaft	Farbe; Licht	x	Holz'
 number=74, yearStr='1641', year=1641, x=0, y=0, name='074 - KK 6272', artist='Wenzel Hollar (1607-1677)', tags='x	Barock	Graphik; Druckgraphik	Mythologie	x	x	x'
 number=75, yearStr='1642', year=1642, x=935, y=475, name='075 - GG 802', artist='Willem Claesz. Heda (1594-1680/82)', tags='Niederlande	Barock	Malerei	Stillleben	x	Tafelkultur	Holz'
 number=76, yearStr='1622', year=1622, x=1428, y=769, name='076 - GG 178', artist='Gerard van Honthorstm (1590-1656)', tags='Niederlande	Barock	Malerei	Genre	Licht	Liebe; Moral	x'
 number=77, yearStr='1649', year=1649, x=1129, y=491, name='077 - Uhr 76', artist='Caspar Langenbucher (um 1620-1678)', tags='Deutschland	Barock	Kunsthandwerk; Uhren; Goldschmiedearbeiten	x	x	Wissenschaft	Bronze; Eisen; Silber; Edelstein; Holz; Messing'
